Handle,Max Rating,Result
Potoccino.,1767,No
Yes_about,1601,No
chenreddy,1708,N/A
damjandavkov,1601,No
forgotmyhandle,1613,No
holy_crap,1601,No
raftyWD,1601,No
Abdelmohaymn,1600,No
BaLaLa_Little_fairy,1600,No
Bit_8,1650,No
Brownbear2710,1600,Yes
DeepBorys,1899,N/A
Dixiky_215,1600,No
Duy_e,2022,N/A
GILL72,1600,No
K4vin,1630,Yes
OkClinty,1696,No
SNUS,1722,No
Tao_lao_tql,1600,No
abhaycodes07,1600,Yes
brianush1,1600,No
fxss,1609,No
gn1,1600,No
lord_prabhu,1600,No
luoZH111,1714,N/A
BONG_9,1599,No
EulerTour,1735,No
Georgewang,1611,Yes
I_want,1711,No
MohammadHijaz,1692,N/A
NeVzZo,1599,No
NicodingZhen,1599,No
NishantS,1740,No
SandeepGhosh693,1610,No
Tiagobfs,1599,No
latr,1857,No
lococ,1770,No
napkin,1782,No
nirjhorJU,1735,No
ritik_369,1672,N/A
scottlv95,1822,No
wust-221,1599,Yes
x_333vil,1781,No
xiaodaiyang,1599,No
zhouchenfeng,1659,No
DvX5,1773,No
LVDT_,1598,N/A
OnlyLatinLetters,2067,N/A
P.V.Sekhar,1953,No
Satyam_86770,1600,No
Tutul_dhar,1625,No
VLTisME986,1687,No
Zoma17,1838,No
code_iamak,1614,No
gfriend1eunha,1598,No
kg_26,1734,N/A
myheartwaing,1781,N/A
myloveAtri,1672,No
xwchen,2067,N/A
xyfern,1598,N/A
Dmitriy888,1597,No
MegalovaniaJ,1597,N/A
Rifat4242,1597,Yes
TaylorFly,1597,Yes
Tomori-Nao,1618,No
achhadahappy,1597,N/A
bawiFox,1720,No
prasoon107,1665,No
rj52171,1597,No
shahmah,1630,No
shanem_1401,1624,No
shinjan99,1737,N/A
sofiaportman12,1597,No
srinith,1597,No
zhengjc,1610,No
Atyou,1596,N/A
Glacya,1596,No
Haruka,1667,N/A
KiprasD,1721,N/A
Omar_Sanad,1596,No
XH_v,1667,N/A
Yanko_,1878,No
_Load_,1685,No
anuragitme,1672,No
asdasdqwer,1596,Yes
betal,1623,N/A
geekyuttu,1607,Yes
mayukhamarla_22,1596,No
original_handle,1596,N/A
sjm150,1655,No
waffle2316,1652,N/A
zrx116,1651,No
China_Wmq,1784,No
De3bOo,1708,N/A
Kartoshkasmyasom,1679,N/A
_Raihan__,1595,N/A
bruce,1627,No
ccdfw,1764,N/A
huang_cc,1603,Yes
imMIQ,1772,N/A
itdobelikethat3899,1595,No
menezesd2,1595,N/A
r1atsa1a,1595,Yes
rnishiura,1695,No
sxpl,1746,N/A
through,1595,No
Azzpg7,1882,N/A
Code_knight01,1594,No
Dhruv_2104,1594,No
G01o5R,1629,No
Null_Resot,1705,N/A
QuaJ,1594,N/A
RG_123,1594,No
Tianshuohu,1594,N/A
TselmegKh,1879,N/A
Xuoline,1675,N/A
__Lonny,1649,Yes
anichaudhri,1594,No
b_for_ball,1699,N/A
bhavyakawatra,1700,No
chenyanxi,1658,No
farouche_1116,1594,No
kapishv,1594,N/A
minhnhatmn16,1594,No
qazhym,1607,No
vivek2943,1686,N/A
.utk.,1654,Yes
Klinashka,1593,N/A
Ligh0x74,1713,No
Petercc,1743,Yes
RetiredNanfeng,1937,No
Robot_chicken,1593,No
amyt,1614,N/A
anmattroi,1647,No
d1amondzz,1593,No
hardik85,1645,No
iloveyouinalluniverse,1593,N/A
mo12412,1846,No
notaapoorv,1593,No
pawanrawat,1678,Yes
pulkitchauhan03,1693,N/A
valavshonok,1658,No
ElizaBest,1593,No
Freiden,1592,No
Mishok2503,1750,N/A
PabloChocobarT_T,1600,Yes
Pawan_Lahoti,1683,No
SARTHAK_MISHRA,1636,No
Tansho,1803,No
bobthestickman,1592,N/A
iaouoyi,1615,No
lalaouye,1615,No
mechpencil,1592,No
shushukl,1636,No
xhchen,1787,No
Codehacker4689,1663,No
Creeping_Death_,1626,N/A
HJR_,1592,No
MKageaki,1591,No
